path,type,modified_at,size_bytes,word_count_estimate,tags,links_out,links_in,broken_links_count,empty_note,duplicate_stem
00 收件箱/22k Star 的开源 AI 平台！一条命令部署，Onyx 让企业级 RAG 变得如此简单.md,,2026-04-05 11:52:59,15211,3562,,1,0,1,no,no
00 收件箱/从采集到回顾，我用 AI 搭建了一套个人信息处理系统 - 少数派.md,,2026-04-03 17:30:31,42050,10960,,1,0,1,no,yes
00 收件箱/年度征文｜在 AI 的帮助下，给自己建了个数字人生档案馆 - 少数派.md,,2026-04-04 07:20:16,29886,7216,,1,0,1,no,no
00 收件箱/年度征文｜效率杂谈：告别纸笔拓荒，怎么用 AI 来辅助学习？ - 少数派.md,,2026-04-04 07:27:18,37791,9797,,1,0,1,no,no
01 日记/2026/2026-04/2026-04-03.md,日记,2026-04-03 20:51:00,829,165,日记,1,0,0,no,no
02 领域/00 领域总览.md,,2026-04-03 09:18:27,0,0,,0,0,0,yes,no
02 领域/01 职业与事业/00 领域主页.md,,2026-04-02 21:11:17,366,98,,0,0,0,no,yes
02 领域/01 职业与事业/01 职业定位.md,,2026-04-02 20:51:49,64,18,,0,0,0,yes,no
02 领域/01 职业与事业/02 本职工作.md,,2026-04-02 20:52:04,57,14,,0,0,0,yes,no
02 领域/01 职业与事业/03 能力建设.md,,2026-04-02 20:57:26,40,10,,0,0,0,yes,no
02 领域/01 职业与事业/04 作品与资产.md,,2026-04-02 20:57:42,36,9,,0,0,0,yes,no
02 领域/01 职业与事业/05 人脉与机会.md,,2026-04-02 20:57:54,39,11,,0,0,0,yes,no
02 领域/02 身体与精力/00 领域主页.md,,2026-04-02 18:23:52,0,0,,0,0,0,yes,yes
02 领域/02 身体与精力/01 睡眠与作息.md,,2026-04-02 20:58:06,0,0,,0,0,0,yes,no
02 领域/02 身体与精力/02 运动与体能.md,,2026-04-02 20:58:15,0,0,,0,0,0,yes,no
02 领域/02 身体与精力/03 饮食与体重.md,,2026-04-02 20:58:23,0,0,,0,0,0,yes,no
02 领域/02 身体与精力/04 体检与就医.md,,2026-04-02 20:58:30,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/00 领域主页.md,,2026-04-02 18:23:32,0,0,,0,0,0,yes,yes
02 领域/03 财务与保障/02 收入结构.md,,2026-04-02 20:17:42,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/03 资产负债.md,,2026-04-02 20:17:51,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/04 储蓄投资.md,,2026-04-02 20:17:28,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/05 保险税务社保.md,,2026-04-02 21:00:15,0,0,,0,0,0,yes,no
02 领域/03 财务与保障/06 大额目标.md,,2026-04-02 21:00:58,36,9,,0,0,0,yes,no
02 领域/04 家庭与亲密关系/00 领域主页.md,,2026-04-02 18:23:46,0,0,,0,0,0,yes,yes
02 领域/04 家庭与亲密关系/01 父母家人.md,,2026-04-02 21:01:34,0,0,,0,0,0,yes,no
02 领域/04 家庭与亲密关系/02 家庭事务.md,,2026-04-02 21:01:41,0,0,,0,0,0,yes,no
02 领域/04 家庭与亲密关系/03 伴侣关系.md,,2026-04-02 21:01:49,0,0,,0,0,0,yes,no
02 领域/04 家庭与亲密关系/04 节日纪念与陪伴.md,,2026-04-02 21:02:03,0,0,,0,0,0,yes,no
02 领域/05 社交与协作关系/00 领域主页.md,,2026-04-02 21:02:40,0,0,,0,0,0,yes,yes
02 领域/05 社交与协作关系/01 朋友同学.md,,2026-04-02 21:02:47,0,0,,0,0,0,yes,no
02 领域/05 社交与协作关系/02 同事领导.md,,2026-04-02 21:02:58,0,0,,0,0,0,yes,no
02 领域/05 社交与协作关系/03 贵人与合作方.md,,2026-04-02 21:03:08,0,0,,0,0,0,yes,no
02 领域/05 社交与协作关系/04 跟进清单.md,,2026-04-02 21:03:21,0,0,,0,0,0,yes,no
02 领域/06 成长与输出/00 领域主页.md,,2026-04-02 21:04:01,0,0,,0,0,0,yes,yes
02 领域/06 成长与输出/01 学习方向.md,,2026-04-02 21:04:11,0,0,,0,0,0,yes,no
02 领域/06 成长与输出/02 阅读与课程.md,,2026-04-02 21:04:19,0,0,,0,0,0,yes,no
02 领域/06 成长与输出/03 技能地图.md,,2026-04-02 21:04:31,0,0,,0,0,0,yes,no
02 领域/06 成长与输出/04 写作与表达.md,,2026-04-02 21:04:37,0,0,,0,0,0,yes,no
02 领域/06 成长与输出/05 输出清单.md,,2026-04-02 21:04:46,0,0,,0,0,0,yes,no
02 领域/07 生活运营与环境/00 领域主页.md,,2026-04-02 21:05:25,0,0,,0,0,0,yes,yes
02 领域/07 生活运营与环境/01 居住环境.md,,2026-04-02 21:05:32,0,0,,0,0,0,yes,no
02 领域/07 生活运营与环境/02 家务采购.md,,2026-04-02 21:05:40,0,0,,0,0,0,yes,no
02 领域/07 生活运营与环境/03 证件办事.md,,2026-04-02 21:05:47,0,0,,0,0,0,yes,no
02 领域/07 生活运营与环境/04 数字生活.md,,2026-04-02 21:05:56,0,0,,0,0,0,yes,no
02 领域/07 生活运营与环境/05 设备工具.md,,2026-04-02 21:06:03,0,0,,0,0,0,yes,no
02 领域/07 生活运营与环境/06 出行安排.md,,2026-04-02 21:06:12,0,0,,0,0,0,yes,no
02 领域/08 情绪与心智/00 领域主页.md,,2026-04-02 21:06:59,0,0,,0,0,0,yes,yes
02 领域/08 情绪与心智/01 情绪模式.md,,2026-04-02 21:07:07,0,0,,0,0,0,yes,no
02 领域/08 情绪与心智/02 压力源清单.md,,2026-04-02 21:07:14,0,0,,0,0,0,yes,no
02 领域/08 情绪与心智/03 专注与分心.md,,2026-04-02 21:07:22,0,0,,0,0,0,yes,no
02 领域/08 情绪与心智/04 自我对话与复盘.md,,2026-04-02 21:07:30,0,0,,0,0,0,yes,no
03 项目/00 项目总览.md,,2026-04-03 08:04:01,0,0,,0,0,0,yes,no
03 项目/01 进行中/建立知识采集栈.md,项目,2026-04-03 22:00:29,1484,320,,0,0,0,no,no
03 项目/01 进行中/整理人生系统常用AI提示词.md,项目,2026-04-03 16:18:23,1586,350,项目,0,0,0,no,no
04 知识/00 知识总览.md,,2026-04-02 20:12:01,1350,358,,0,0,0,no,no
04 知识/01 摘录/从采集到回顾，我用 AI 搭建了一套个人信息处理系统 - 少数派.md,知识,2026-04-03 21:19:39,7030,1816,,0,0,0,no,yes
04 知识/01 摘录/如何在 AI 时代搭建硬件基座.md,知识,2026-04-03 18:22:08,4261,1149,,0,1,0,no,no
04 知识/02 主题笔记/知识采集栈.md,知识,2026-04-03 22:41:38,430,76,,0,3,0,no,yes
04 知识/05 主题地图.md,,2026-04-02 18:26:59,0,0,,0,0,0,yes,no
05 人物/00 人物总览.md,,2026-04-02 19:11:40,312,85,,0,0,0,no,no
06 系统/01 模板/主题笔记模版.md,知识,2026-04-03 21:12:04,397,76,,0,3,0,no,no
06 系统/01 模板/人物卡模板.md,人物,2026-04-03 21:11:41,920,193,,3,2,3,no,no
06 系统/01 模板/文章摘录模版.md,知识,2026-04-03 21:11:48,723,156,,0,3,0,no,no
06 系统/01 模板/方法清单模版.md,方法,2026-04-03 21:11:13,463,89,,0,3,0,no,no
06 系统/01 模板/每周回顾模板.md,回顾,2026-04-03 21:11:34,1077,220,,0,2,0,no,no
06 系统/01 模板/每日笔记模板.md,日记,2026-04-03 21:11:28,782,153,,0,2,0,no,no
06 系统/01 模板/长青笔记模版.md,知识,2026-04-03 21:11:59,544,122,,0,3,0,no,no
06 系统/01 模板/项目模版.md,项目,2026-04-03 21:11:54,1484,320,,0,2,0,no,no
06 系统/01 模板/领域首页模板.md,领域,2026-04-03 21:11:22,1005,221,,3,2,3,no,no
06 系统/03 导航/人生系统-首页.md,,2026-04-03 10:42:07,628,181,,12,0,12,no,no
06 系统/03 导航/本周入口.md,,2026-04-03 09:20:28,0,0,,0,0,0,yes,no
06 系统/03 导航/采集源总览.md,,2026-04-03 23:21:28,3049,784,,0,2,0,no,no
06 系统/04 规则/obsidian-life-review 使用说明.md,系统说明,2026-04-05 11:53:35,21251,5799,"系统说明, 使用说明, 审阅镜像",50,0,18,no,no
06 系统/04 规则/人生系统常用提示词/文章收录提示词.md,,2026-04-03 17:00:56,3774,1049,,0,2,0,no,no
06 系统/04 规则/文章收录及使用规则.md,,2026-04-03 11:56:18,24833,6712,,31,2,31,no,no
06 系统/04 规则/标签规范.md,,2026-04-02 21:22:26,237,56,,0,0,0,no,no
06 系统/04 规则/知识采集栈.md,,2026-04-04 00:25:57,12920,3593,,0,0,0,no,yes
06 系统/04 规则/系统说明.md,,2026-04-03 09:22:45,221,64,,0,1,0,no,no
